Item Number,Item Description,PQ,Prices,Qty Avail
CG-1109H-01,"Beaker, Heatable, 100mL, PTFE",EACH,$75.60,Call forAvailability
CG-1109H-02,"Beaker, Heatable, 250mL, PTFE",EACH,$93.80,Call forAvailability
CG-1109H-03,"Beaker, Heatable, 400mL, PTFE",EACH,$113.05,1
