name,image URL,price
CG-1109 ,https://chemglass.com/content/images/thumbs/0002958_beakers-ptfe-low-form_415.jpeg,From $19.40
CG-1109C ,https://chemglass.com/content/images/thumbs/0011818_covers-beakers-ptfe_415.jpeg,From $5.35
CG-3744T ,https://chemglass.com/content/images/thumbs/0011809_stirring-rods-ptfe-steel-cores_415.jpeg,From $10.55
